Timestamp,What is your age?  ,What is your gender?  ,How familiar are you with SpaceX’s reusable rocket technology?  ,Which SpaceX missions have you heard of? (Select all that apply)  ,How often do you follow news related to space exploration?  ,Do you believe that SpaceX’s reusable rocket technology is a breakthrough in space travel?  ,"In your opinion, how has SpaceX influenced the future of space exploration?  ",Do you think that the advancements made by SpaceX will lead to more private companies entering the space industry?  ,How do you perceive the safety of SpaceX missions compared to traditional government space programs like?  ,"Do you think SpaceX missions are more affordable than those by government space agencies such as NASA, ISRO?  ",Would you like to learn more about space exploration through educational programs?  ,How likely do you think SpaceX’s technologies will improve life on Earth?  ,Do you believe that investments in space exploration can lead to new technological advancements for everyday use?  ,Would you support government funding for companies like SpaceX?  ,Do you think public-private partnerships are essential for future advancements in space technology?  
2024/10/16 8:23:49 am GMT+5:30,18 - 24,Male,Somewhat familiar,Falcon 1;Falcon Heavy;Starship;Crew Dragon,Rarely,Maybe,Not at all,Maybe,About the same,No,Yes,Very likely,Maybe,Unsure,Unsure
2024/10/16 8:38:33 am GMT+5:30,18 - 24,Female,Somewhat familiar,Falcon Heavy,Monthly,Yes,Moderately,No,Safer,Yes,Yes,Very likely,Yes,Yes,Yes
2024/10/16 8:42:38 am GMT+5:30,18 - 24,Female,Very familiar,Crew Dragon,Daily,Maybe,Not at all,Maybe,Safer,Unsure,Yes,Somewhat likely,Yes,Unsure,Yes
2024/10/16 8:47:04 am GMT+5:30,18 - 24,Male,Not familiar,Crew Dragon,Weekly,Maybe,Moderately,Yes,Safer,Yes,Yes,Somewhat likely,Maybe,No,No
2024/10/16 8:51:03 am GMT+5:30,18 - 24,Male,Somewhat familiar,Falcon 9,Weekly,No,Significantly,Yes,About the same,No,Yes,Very likely,Yes,Yes,Yes
2024/10/16 8:53:16 am GMT+5:30,18 - 24,Male,Somewhat familiar,Starship,Monthly,Yes,Significantly,Yes,Safer,No,Yes,Very likely,Yes,Yes,Unsure
2024/10/16 8:59:44 am GMT+5:30,25 - 34,Male,Very familiar,Falcon Heavy,Monthly,Yes,Significantly,Maybe,Safer,Yes,Yes,Very likely,Yes,Yes,Unsure
2024/10/16 9:04:47 am GMT+5:30,18 - 24,Female,Somewhat familiar,Starship,Monthly,Maybe,Significantly,Yes,Less same,Unsure,Yes,Somewhat likely,Yes,Yes,Yes
2024/10/16 9:06:20 am GMT+5:30,25 - 34,Male,Very familiar,Falcon 1;Falcon 9;Falcon Heavy;Starship;Crew Dragon,Daily,Yes,Significantly,Yes,About the same,Yes,Yes,Very likely,Yes,Yes,Yes
2024/10/16 9:32:35 am GMT+5:30,18 - 24,Female,Very familiar,Falcon 1,Daily,Yes,Significantly,Yes,Safer,Yes,Yes,Very likely,Yes,Yes,Yes
2024/10/16 12:30:09 pm GMT+5:30,18 - 24,Female,Not familiar,Falcon 1;Falcon 9;Falcon Heavy;Starship;Crew Dragon,Monthly,Maybe,Moderately,Maybe,Safer,Unsure,Yes,Somewhat likely,Yes,No,Unsure
2024/10/16 12:54:53 pm GMT+5:30,18 - 24,Female,Somewhat familiar,Starship,Weekly,Yes,Significantly,Yes,About the same,Yes,Yes,Very likely,Yes,Yes,No
2024/10/16 12:59:19 pm GMT+5:30,Under 18,Male,Not familiar,Starship,Rarely,Yes,Significantly,Yes,Safer,Yes,Yes,Very likely,Yes,Yes,Unsure
2024/10/16 1:39:13 pm GMT+5:30,18 - 24,Female,Somewhat familiar,Falcon Heavy,Monthly,Maybe,Moderately,Yes,Safer,Yes,Yes,Very likely,Yes,Yes,Yes
2024/10/16 1:40:10 pm GMT+5:30,35 - 54,Female,Very familiar,Falcon 1,Monthly,Yes,Significantly,Yes,Safer,Yes,Yes,Very likely,Yes,Yes,Yes
2024/10/16 3:49:06 pm GMT+5:30,25 - 34,Female,Somewhat familiar,Falcon 1,Weekly,Maybe,Significantly,Yes,Safer,Yes,Yes,Very likely,Yes,Yes,Yes
2024/10/16 4:38:18 pm GMT+5:30,18 - 24,Female,Somewhat familiar,Starship,Monthly,Yes,Significantly,Yes,Safer,Unsure,Yes,Very likely,Yes,Unsure,Unsure
2024/10/16 5:21:12 pm GMT+5:30,18 - 24,Female,Not familiar,Falcon Heavy,Daily,Maybe,Moderately,Maybe,About the same,Unsure,No,Somewhat likely,Maybe,Yes,Yes
2024/10/16 5:43:10 pm GMT+5:30,18 - 24,Female,Not familiar,Starship,Rarely,Yes,Moderately,Yes,Safer,Unsure,Yes,Somewhat likely,Maybe,Yes,Yes
2024/10/16 6:03:07 pm GMT+5:30,18 - 24,Male,Somewhat familiar,Starship,Rarely,Maybe,Moderately,Maybe,Safer,Unsure,Yes,Somewhat likely,Maybe,Unsure,Yes
2024/10/16 6:30:30 pm GMT+5:30,Under 18,Female,Very familiar,Falcon 1,Weekly,Yes,Significantly,Yes,Safer,Yes,Yes,Very likely,Yes,Yes,Yes
2024/10/16 6:30:59 pm GMT+5:30,25 - 34,Male,Not familiar,Crew Dragon,Rarely,Maybe,Moderately,Maybe,Less same,Unsure,No,Unlikely,Maybe,Unsure,Unsure
2024/10/16 6:31:31 pm GMT+5:30,55 or older,Female,Somewhat familiar,Falcon 9,Monthly,Yes,Significantly,Maybe,About the same,Unsure,Yes,Somewhat likely,Yes,Yes,Yes
2024/10/16 6:31:43 pm GMT+5:30,25 - 34,Male,Very familiar,Starship,Daily,Maybe,Moderately,Yes,About the same,Unsure,Yes,Somewhat likely,No,Yes,Unsure
2024/10/16 6:32:05 pm GMT+5:30,25 - 34,Male,Somewhat familiar,Falcon 1,Monthly,No,Moderately,No,Safer,Yes,Yes,Very likely,Yes,Yes,Yes
2024/10/16 6:32:20 pm GMT+5:30,18 - 24,Female,Very familiar,Falcon 9;Starship,Weekly,No,Significantly,Yes,About the same,Yes,Yes,Somewhat likely,Yes,Yes,Yes
2024/10/16 6:32:35 pm GMT+5:30,25 - 34,Male,Very familiar,Falcon Heavy,Monthly,Yes,Moderately,Yes,About the same,Yes,Yes,Somewhat likely,Yes,Yes,Yes
2024/10/16 6:33:26 pm GMT+5:30,25 - 34,Male,Somewhat familiar,Falcon 1,Monthly,Maybe,Moderately,Maybe,About the same,Yes,Yes,Somewhat likely,Yes,Unsure,Yes
2024/10/16 6:34:04 pm GMT+5:30,Under 18,Female,Very familiar,Falcon 1,Weekly,Yes,Moderately,Yes,Less same,Yes,Yes,Somewhat likely,Yes,Yes,Unsure
2024/10/16 6:34:05 pm GMT+5:30,Under 18,Female,Very familiar,Falcon 9,Daily,Yes,Moderately,Yes,Less same,Yes,Yes,Somewhat likely,Yes,Yes,Unsure
2024/10/16 6:34:23 pm GMT+5:30,25 - 34,Male,Somewhat familiar,Falcon Heavy,Rarely,Maybe,Moderately,Maybe,About the same,No,Yes,Somewhat likely,Yes,Yes,Yes
2024/10/16 6:35:00 pm GMT+5:30,Under 18,Male,Not familiar,Crew Dragon,Rarely,No,Moderately,Maybe,Less same,Unsure,Yes,Somewhat likely,Maybe,Unsure,Unsure
2024/10/16 6:35:26 pm GMT+5:30,35 - 54,Female,Somewhat familiar,Falcon 1,,Yes,Moderately,Yes,About the same,Yes,Yes,Somewhat likely,Yes,Yes,Yes
2024/10/16 6:35:33 pm GMT+5:30,18 - 24,Male,Very familiar,Starship,Daily,Yes,Significantly,Yes,Safer,Yes,Yes,Very likely,Yes,Yes,Yes
2024/10/16 6:35:33 pm GMT+5:30,18 - 24,Male,Very familiar,Starship,Weekly,Yes,Significantly,Yes,Safer,Yes,Yes,Very likely,Yes,Yes,Yes
2024/10/16 6:37:06 pm GMT+5:30,Under 18,Female,Not familiar,Crew Dragon,Rarely,Maybe,Moderately,Maybe,About the same,No,Yes,Somewhat likely,Yes,Unsure,Yes
2024/10/16 6:37:13 pm GMT+5:30,18 - 24,Male,Very familiar,Falcon 9;Falcon Heavy;Starship,Weekly,Yes,Significantly,Yes,About the same,No,Yes,Very likely,Yes,Yes,No
